x,y,species max
764.0,764.0,2.995422E-6
765.0,765.0,0.48057613
766.0,766.0,0.0432193
767.0,767.0,0.031207649
768.0,768.0,0.010653634
769.0,769.0,4.542464E-4
770.0,770.0,0.6235621
771.0,771.0,0.21760494
772.0,772.0,0.5602241
773.0,773.0,0.4027132
774.0,774.0,0.0011923311
775.0,775.0,0.24554689
776.0,776.0,2.6570592E-4
777.0,777.0,5.448338E-6
778.0,778.0,0.02438915
779.0,779.0,0.119405374
780.0,780.0,2.3593285E-4
781.0,781.0,1.678795E-9
782.0,782.0,1.8742401E-6
783.0,783.0,2.5858665E-6
784.0,784.0,0.02497534
785.0,785.0,2.6242247E-7
786.0,786.0,8.679929E-6
787.0,787.0,0.01144278
788.0,788.0,0.0037073614
789.0,789.0,0.12987064
790.0,790.0,0.2541338
791.0,791.0,0.37730062
792.0,792.0,0.30987525
793.0,793.0,0.006656593
794.0,794.0,0.17444241
795.0,795.0,1.8731137E-7
796.0,796.0,0.3758392
797.0,797.0,3.8566458E-4
798.0,798.0,0.030353744
799.0,799.0,0.78747696
800.0,800.0,0.41388986
801.0,801.0,0.14169459
802.0,802.0,0.15621655
803.0,803.0,0.24446303
804.0,804.0,0.24330826
805.0,805.0,0.18022625
806.0,806.0,0.4521975
807.0,807.0,3.0458377E-6
808.0,808.0,0.29745486
809.0,809.0,7.998383E-5
810.0,810.0,0.15929227
811.0,811.0,0.4471138
812.0,812.0,0.009025231
813.0,813.0,4.79537E-6
814.0,814.0,1.3979405E-7
815.0,815.0,0.1326465
816.0,816.0,0.32032165
817.0,817.0,0.6998037
818.0,818.0,0.31111792
819.0,819.0,0.28725114
820.0,820.0,0.21416987
821.0,821.0,1.7483892E-6
822.0,822.0,0.09090713
823.0,823.0,0.42672378
824.0,824.0,0.019576399
825.0,825.0,0.15382124
826.0,826.0,0.012710314
827.0,827.0,0.0013712138
828.0,828.0,0.15141058
829.0,829.0,1.6464959E-7
830.0,830.0,2.3951264E-4
831.0,831.0,0.048288092
832.0,832.0,2.0481349E-7
833.0,833.0,0.012829874
834.0,834.0,0.058439035
835.0,835.0,0.0340284
836.0,836.0,0.0071153846
837.0,837.0,0.64494467
838.0,838.0,0.18500051
839.0,839.0,0.644096
840.0,840.0,0.71832794
841.0,841.0,0.0028060353
842.0,842.0,0.30659094
843.0,843.0,1.0187137E-4
844.0,844.0,0.37688532
845.0,845.0,0.74236226
846.0,846.0,0.0056406097
847.0,847.0,0.06969065
848.0,848.0,0.24023673
849.0,849.0,0.4042965
850.0,850.0,0.58516854
