"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"247","Plethodon metcalfi","230","316.5","660","639.2","884.5","1607","9","12","13","13.36","15","16","10","12","13","12.85","13","14","34","38","39","38.67","39","41","661","716.5","738","737.1","759.5","780","22","28","30","29.68","32","33","-6","-5","-3","-3.479","-2","-1","28","32","33","33.14","34","35","3","5","7","7.177","7","23","3","14","15","14.93","16","20","17","21","22","22.26","24","25","0","3","4","4.078","5","6","1294","1386","1486","1565","1746","2082","131","143","153","158.8","174","211","78","98","107","112.1","126","153","7","9","9","9.545","10","13","347","383","408","422.8","463","558","275","315","343","361.9","407.5","476","308","350","378","394.2","440","497","311","350.5","379","392.1","432","526"
"248","Plethodon montanus","434","844.5","954","963.1","1088","1518","8","10","11","10.73","11","14","9","11","12","11.92","12","14","32","36","37","36.63","38","40","682","731","744","745.5","756.5","803","22","26","27","26.66","28","31","-7","-6","-6","-5.799","-5","-4","28","32","33","32.51","33","36","3","10","17","14.58","18","21","-1","2","6","5.386","7","16","17","19","20","19.75","20","23","-1","1","1","1.349","2","4","949","1217","1276","1273","1328","1769","102","120","126","127.2","132","178","64","81","86","85.77","89","121","9","11","11","11.7","13","15","279","345","355","355.6","366","478","200","261","277","276.7","289","403","271","332","342","342.4","352","446","200","273","284","289.1","299","433"
"249","Plethodon neomexicanus","1701","2110","2436","2410","2691","3232","2","5","7","7.211","10","12","12","15","16","15.87","17","19","39","41","42","42.44","44","46","691","734.2","768","780.6","829.5","878","18","22","25","25.22","29","32","-16","-14","-12","-12.16","-11","-8","31","36","37","37.36","39","44","11","14","16","16.56","19","22","-2","1","7","5.817","9","15","11","14","16","16.89","20","23","-6","-4","-2","-2.193","-1","2","265","412.2","531.5","525.4","640","822","54","72","87","85.2","99","119","8","21","28","26.23","33","40","32","38","43","43.91","48","64","133","180","217","213.4","246.8","299","28","68","90.5","85.2","104.8","133","118","162.2","199.5","196.7","232","285","28","68","107","106","142.8","207"
"250","Plethodon nettingi","740","928","1040","1037","1150","1298","7","8","8","8.082","8","9","10","11","11","10.99","11","12","30","32","33","32.74","33","35","801","811","820","818.5","825","836","22","23","24","23.9","24","26","-10","-10","-10","-9.575","-9","-9","32","33","33","33.48","34","35","15","15","16","15.93","16","17","-3","-3","-2","-2.301","-2","-1","17","17","18","17.85","18","19","-3","-3","-2","-2.301","-2","-1","1138","1200","1232","1246","1301","1373","116","122","126","125.9","129","135","76","82","85","87.99","95","102","9","9","11","11.03","12","14","333","349","358","357.9","365","382","241","258","269","276.6","299","318","322","336","344","342.9","350","357","241","258","269","276.6","299","318"
"251","Plethodon ouachitae","234","330.2","406.5","416.1","497","617","14","15","15","15.11","15","16","11","11","12","11.73","12","13","33","34","34","34.11","34.75","36","790","801.2","810","811.1","819","835","31","31","32","31.92","32","34","-3","-3","-2","-2.306","-2","-2","33","34","34","34.35","35","36","14","14.25","15","15.18","15","20","4","5","5","4.806","5","5","24","24","25","24.84","25","26","4","5","5","4.806","5","5","1241","1298","1334","1335","1372","1443","166","170","172","171.4","173","175","57","64.25","69","68.24","72","78","21","23","24","24","25","27","398","411","420.5","420.3","429","444","215","239.2","256.5","255.1","269","292","282","290.2","297","297.1","302","316","215","239.2","256.5","255.1","269","292"
"252","Plethodon petraeus","262","276.5","399","405.4","514.5","600","13","14","14","14.26","15","15","12","13","13","13.05","13","14","37","37","38","37.58","38","38","760","769.5","778","778.2","788.5","792","30","30.5","31","31.16","32","32","-4","-4","-3","-3.316","-3","-3","34","34","34","34.47","35","36","5","6","6","5.895","6","7","19","19","20","19.68","20","21","23","23","24","23.58","24","24","4","4","4","4.474","5","5","1460","1472","1508","1512","1548","1573","164","165.5","169","168.8","172","175","89","90","93","93.11","96","98","16","16","17","16.63","17","17","433","437.5","446","446.5","456","462","299","301","309","309.8","317.5","323","323","325","333","334.5","343","348","405","410.5","418","419.2","429","434"
"253","Plethodon punctatus","203","384","492.5","536.5","660","1232","7","10","11","10.75","12","12","10","12","12","12.37","13","14","31","34","35","34.74","36","38","801","826","840","842.3","857","894","23","27","28","27.88","29","30","-10","-8","-8","-7.637","-7","-6","32","35","36","35.58","37","38","11","18","19","18.9","20","22","-3","0","0","0.1446","1","2","17","20","21","20.92","22","23","-3","0","0","0.1446","1","2","898","937","971.5","989.8","1028","1247","91","96","98","99.53","102","128","55","59","62","64.05","67.25","88","9","14","15","14.53","16","17","266","277","284","287","294","353","173","184","192","198.6","209","272","258","270.8","277","279.3","285","331","173","184","192","198.6","209","272"
"254","Plethodon sequoyah","188","203","218","214.7","228","238","16","16","16","16","16","16","12","12","12","12.33","12.5","13","34","34.5","35","35.33","36","37","811","812","813","813","814","815","33","33","33","33.33","33.5","34","-2","-2","-2","-2","-2","-2","34","34.5","35","35","35.5","36","15","15.5","16","15.67","16","16","6","6","6","6","6","6","26","26","26","26","26","26","6","6","6","6","6","6","1329","1330","1330","1340","1346","1361","169","169.5","170","169.7","170","170","71","71","71","71.33","71.5","72","23","23","23","23","23","23","423","423","423","424.7","425.5","428","267","267.5","268","272.7","275.5","283","288","288.5","289","290","291","293","267","267.5","268","272.7","275.5","283"
"255","Plethodon serratus","12","198","264","308.6","341","1670","8","13","14","14.5","16","19","9","12","12","12.6","13","15","27","32","35","35.2","39","42","661","745","829","838.3","927","1004","22","31","32","31.88","33","35","-9","-7","-4","-4.061","-2","4","28","34","36","35.97","38","40","2","9","13","13.06","18","22","-1","1","6","10.27","20","27","16","24","25","24.51","26","28","-1","1","4","3.766","6","10","963","1097","1220","1259","1388","2082","103","123","140","140.8","158","211","32","52","69","70.1","83","153","7","17","19","19.99","23","35","287","336","374","379.6","418","558","124","193.2","249","245.8","284","476","234","280","292","305.9","323","497","124","193.2","267","283.4","376","526"
"256","Plethodon shenandoah","240","452.2","601.5","597.9","757.8","907","9","10","10.5","10.57","11","12","10","10","11","10.71","11","12","30","31","32","32.07","33","35","819","827","834.5","834.8","841.5","852","25","26","27","27.14","28","30","-8","-7","-7","-6.786","-6","-6","32","33","34","34","35","36","11","11","18.5","15.93","19.75","21","-1","-1","0","0.07143","1","2","19","20","20.5","20.71","21.75","23","-1","-1","0","0.07143","1","2","1059","1088","1117","1127","1167","1216","102","105","107.5","109.1","112.5","120","71","72.25","74.5","74.79","76.75","80","13","13","14","13.64","14","14","301","307","311.5","318.5","329.2","350","218","221.5","226","228.8","235.2","245","295","299","303","305.7","312.2","320","218","221.5","226","228.8","235.2","245"
"257","Plethodon shermani","650","820.8","1019","996.9","1120","1430","9","11","11","11.29","12","13","11","12","13","12.75","13","14","36","38","40","39.46","40","42","678","697","713","708.7","718.5","743","24","26","27","27.04","28","30","-6","-5","-5","-5.089","-5","-4","29","31","32","32.16","33","35","2","3","3","3.536","4","5","13","15","16","16.02","17","18","17","19","20","19.84","21","22","1","2","2","2.375","3","4","1564","1708","1778","1782","1866","2019","164","177","183","184.1","192","206","94","107","117","117.1","124","141","10","10","11","11.09","12","14","440","475.8","491.5","493.1","511.2","549","330","367.8","392","390.9","411","453","390","422.8","432.5","436.7","454","485","414","446.8","464","464.4","481.2","516"
"258","Plethodon stormi","566","881","1068","1098","1366","1742","6","8","9","9.315","11","12","8","10","12","11.71","13","15","42","44","44","44.25","45","47","378","502","574","554.8","614.8","668","15","20","23","22.27","25","27","-8","-5.75","-4","-4.154","-3","-1","18","23","27","26.35","30","33","2","3","4","3.992","5","5","10","14","17","16.17","18","20","12","15","17","16.75","19","20","1","3","3.5","3.492","5","5","689","854","1011","1044","1189","1617","121","155.2","183.5","187.2","209.8","283","7","9","10","10.43","12","16","69","73","74","74.14","76","81","342","438.5","513.5","525.4","585.2","793","39","45","51.5","54.01","62.75","84","41","49","56","58.18","65.75","90","315","413","475.5","478","531.8","684"
"259","Plethodon teyahalee","225","582.8","790","784","989","1607","8","11","12","12.31","13","16","10","12","13","12.78","13","15","34","38","39","38.87","40","42","661","713.8","728.5","729.5","749","793","22","27","28","28.46","30","33","-6","-5","-5","-4.433","-4","-1","28","32","33","32.87","34","36","2","4","5","6.969","9","22","3","13","15","15.03","17","20","16","20","21","21.12","22","25","0","2","3","3.118","4","6","1121","1454","1566","1586","1725","2082","113","151","162","162.5","176","211","64","91","104","105.2","118","153","7","10","11","11.34","13","15","311","406","437","436.6","472","558","228","311","345","351.3","391.2","476","307","367","397","399.3","433","497","272","376.8","407","406.1","440","526"
"260","Plethodon vandykei","1","196","517","606.5","942","3691","-3","7","8","7.845","9","11","3","8","9","8.954","10","11","10","37","40","39.33","42","45","368","474.5","500","507","535","700","9","18","19","18.91","20","23","-17","-5","-4","-3.869","-2","2","17","21","23","22.81","24","28","-5","1","3","2.603","4","7","5","13","14","14.05","15","17","5","13.5","15","14.41","15","17","-12","0","3","2.105","4","6","1180","2007","2303","2330","2700","3366","188","320","367","371.2","429.5","546","17","35","42","43.75","54","73","47","60","62","61.61","63","74","540","924.5","1058","1064","1230","1492","84","154.5","178","179.1","211.5","266","94","168","194","196","225","308","488","854","983","989.6","1142","1424"
"261","Plethodon vehiculum","0","159","404","539.3","834","3691","-3","7","9","8.172","10","13","3","7","9","8.679","10","14","10","33","39","38.15","43","54","253","474","521","518.1","560","818","9","17","19","19.24","21","27","-17","-5","-3","-3.557","-2","4","14","21","23","22.79","25","33","-7","1","4","2.76","5","9","-1","13","15","14.58","16","20","5","14","15","14.87","16","20","-12","0","3","2.295","5","9","452","1467","1879","1929","2342","3639","63","232","301","306.7","373","613","9","25","40","40.78","55","100","28","54","61","59.15","65","76","178","656","857","868.4","1064","1660","46","116","162","162.5","198","361","46","121","170","171.6","206","420","157","585","775","785.7","973","1425"
"262","Plethodon ventralis","90","229","445","479.8","679","1512","9","12","14","13.83","15","17","9","13","13","13.13","14","14","33","38","38","38.23","39","41","678","748","779","769.5","793","816","23","29","31","30.65","33","34","-6","-5","-4","-3.692","-3","-1","28","34","35","34.34","35","36","3","7","12","12.51","18","22","0","13","16","15.67","21","22","17","22","23","23.08","25","26","0","3","4","4.011","5","7","1088","1236","1434","1381","1471","1989","110","126","158","146.8","163","199","64","81","86","88.33","91","147","7","12","15","14.73","18","23","307","343","417","394.4","435","528","224","260","279","288.5","303","464","292","310","320","335.4","344","486","250","299","390","356.7","405","499"
"263","Plethodon virginia","254","498","579","584.1","681","1043","8","10","10","10.27","11","12","10","11","12","11.83","12","14","31","33","34","33.89","35","37","811","833","841","843.2","853","883","24","26","27","27.1","28","30","-9","-8","-8","-7.959","-8","-7","33","34","35","35.07","36","38","16","18","19","18.52","19","20","-2","-1","0","-0.3379","0","1","18","20","20","20.46","21","22","-2","-1","0","-0.3379","0","1","898","928","952","957.6","978","1117","92","96","98","97.73","99","107","55","58","60","60.37","62","74","12","15","16","15.68","16","18","267","276","282","282.4","288","311","173","180","185","187.2","192","229","263","271","275","275.7","280","300","173","180","185","187.2","192","229"
"264","Plethodon websteri","14","77","141","138.9","179","534","14","16","17","17.13","18","19","11","13","13","13.32","14","14","35","39","40","39.58","40","42","667","712","749","738","759","816","30","33","34","33.62","34","35","-4","-1","0","-0.02439","1","4","30","33","34","33.6","35","36","6","9","10","11.22","12","26","12","18","21","20.51","23","27","23","26","26","26.07","27","27","4","7","8","7.713","9","11","1172","1274","1428","1393","1473","1654","120","145.8","158","151.2","162","173","61","75","80","81.4","86","103","11","16","20","18.87","21","24","341","391","429","414.8","442","474","220","252","262","268.9","278","346","271","299","315","318.1","328","398","306","363","403","393.1","424","464"
"265","Plethodon welleri","466","796.5","910","916.5","1039","1518","8","10","11","10.81","11","13","9","12","12","11.97","12","13","32","36","36","36.37","37","39","700","746","757","755.5","767","783","22","26","27","26.91","28","30","-7","-6","-6","-5.88","-5","-4","29","32","33","32.76","34","35","7","17","18","17.21","19","21","-1","1","3","3.909","7","8","17","19","20","19.92","21","23","-1","1","1","1.264","2","3","1138","1200","1236","1244","1279","1477","115","119","122","122.8","125","147","73","83","84.5","84.95","88","103","10","11","11","11.46","12","16","321","342","349","349.6","356","407","238","259","268","269.2","278.2","332","301","330","337","336.5","343","389","238","267","274","274.7","282","332"
"266","Plethodon yonahlossee","352","742.5","856.5","862.4","990.5","1660","8","10","11","11.16","12","14","9","12","12","12.17","13","14","32","36","37","36.83","38","40","672","740","757","755.2","772","798","22","26","27","27.38","28","32","-7","-6","-6","-5.554","-5","-3","27","32","33","32.99","34","36","5","12","18","15.74","19","22","-1","1","3","4.223","7","14","16","19","20","20.3","21","24","-1","1","1","1.623","2","4","988","1182","1260","1246","1311","1669","103","117","123.5","123.9","130","166","65","81","86","85.66","90","121","9","11","11","11.26","12","15","292","335","349","346.8","360","451","207","253","274","271.4","289","384","273","320.8","336","332.4","348","431","207","260.8","279","276.5","294","384"
"267","Pseudoeurycea altamontana","2263","2850","3031","2926","3105","3438","10","12","13","12.84","13","16","13","14","15","15.06","16","17","76","77","77","77.25","78","79","137","142","146.5","147.5","151.2","169","19","21","22","21.97","22.25","25","0","1","2","2.469","3","6","18","19","20","19.66","21","22","11","13","13","13.75","14","17","8","10","10.5","10.81","11","14","12","14","14","14.72","15","18","8","10","10.5","10.81","11","14","930","1069","1206","1159","1232","1254","180","208.8","248.5","237.4","259.2","272","6","8","8","8.375","9","11","93","96","97.5","97.34","98","101","531","613","697","675.2","728.2","752","28","33","36","35.81","38","44","273","319.2","343","333.4","347.2","356","28","33.75","36","35.84","38","44"
"268","Pseudoeurycea aurantia","2421","2428","2436","2436","2444","2451","13","13","13","13","13","13","10","10","10","10","10","10","62","62.25","62.5","62.5","62.75","63","164","164.2","164.5","164.5","164.8","165","20","20","20","20","20","20","5","5","5","5","5","5","15","15","15","15","15","15","13","13","13","13","13","13","12","12","12","12","12","12","15","15","15","15","15","15","11","11","11","11","11","11","1166","1210","1254","1254","1299","1343","231","237.5","244","244","250.5","257","13","14.25","15.5","15.5","16.75","18","87","88","89","89","90","91","649","668.8","688.5","688.5","708.2","728","44","49.25","54.5","54.5","59.75","65","287","293.8","300.5","300.5","307.2","314","94","103.5","113","113","122.5","132"
"269","Pseudoeurycea cochranae","1558","1994","2154","2174","2408","2688","13","15","17","16.86","18","21","10","11","12","11.81","12","14","71","75","75","75.39","76","79","94","119","124","125","130","157","21","23","24.5","24.45","26","29","6","7","9","8.675","10","12","13","15","16","15.72","16","19","14","16","18","17.51","19","21","13","14.75","16","15.95","17","19","15","17","18","18.27","20","22","12","14","15","15.25","17","19","556","834.8","886","908.3","987.2","1488","120","182","199","199.5","219.2","280","2","5","6","5.712","6","25","81","92","94","93.6","95","97","302","475.2","511.5","513.6","562.2","764","11","22","24","24.25","25","80","205","278.8","296.5","309.6","342.2","411","18","35","46.5","45.42","53.25","145"
"270","Pseudoeurycea firscheini","2260","2304","2343","2406","2468","2671","10","10.75","12","11.75","13","13","10","10","11","10.88","11.25","12","67","68","68","68.25","69","69","158","165.5","172.5","172.1","180","186","17","18.75","20","19.62","21","21","3","3","3.5","3.625","4","5","15","15","16.5","16.25","17","18","11","11.75","12.5","12.62","14","14","9","9.75","10.5","10.25","11","11","12","12.75","14","13.75","15","15","8","8.75","9.5","9.375","10","11","548","778.8","906","894","1061","1158","107","139.5","161.5","162.1","190.8","210","9","13.75","15.5","14.75","16.25","18","77","78.75","79.5","79.25","80","81","270","381.5","463","452.4","541","595","32","51","56.5","55.5","64.25","72","193","238","260.5","253.5","278","292","38","68.75","80","82.12","104.5","120"
"271","Pseudoeurycea gadovii","1482","2510","2754","2777","3086","4663","4","10","11","11.31","13","18","10","11","12","12.47","13","16","68","71","74","73.54","75.75","79","71","130","149.5","150.3","174","214","11","17","19","19.23","21.75","27","-3","1","2","2.289","3","8","13","16","17","17","18","21","4","10","12","12.02","14","19","3","8","10","9.667","11","16","5","11","13","13.03","14","20","3","8","9","9.3","10","15","541","846.2","989","1058","1278","1703","104","155.2","175.5","192.6","230.8","323","6","11","18.5","19.64","27","38","60","72.25","82","78.78","84.75","90","263","426.8","493.5","536.1","642.5","921","25","38.25","63","65.21","88.5","126","198","265.2","299.5","308","344","465","25","38.25","72.5","70.73","98","135"
"272","Pseudoeurycea juarezi","2223","2560","2777","2642","2777","2871","12","12","13","13","13","15","8","9","9","9","9","10","65","69","69","69.4","72","72","124","125","128","131.2","133","146","18","18","19","19.4","20","22","5","6","6","6.4","7","8","12","13","13","13","13","14","12","12","13","13","13","15","11","11","12","12.2","13","14","13","13","14","14.4","15","17","10","10","11","11.2","12","13","1115","1324","1344","1318","1382","1425","209","244","254","247.6","261","270","14","19","20","19.4","21","23","80","81","81","81.6","83","83","547","676","689","670.6","697","744","52","63","65","63.6","68","70","343","343","354","352","355","365","81","105","131","116.8","133","134"
"273","Pseudoeurycea leprosa","1279","2378","2610","2648","2933","4521","6","12","13","12.94","14","20","8","13","14","13.99","15","18","59","73","74","73.76","76","79","82","153","169","170.1","187","249","13","20","22","21.82","23","31","-3","2","3","2.942","4","9","13","18","19","18.92","20","23","6","12","14","13.99","15","22","4","10","11","10.82","12","18","7","13","15","14.79","16","23","4","9","11","10.59","11","17","425","766","925","945.6","1122","1893","81","137","174","180.9","219","347","4","9","12","13.51","16","43","60","76","81","82.93","91","101","193","372","482","496.4","610.8","982","18","34.25","43","48.09","54","139","164","235","276","282.4","321.8","564","18","35","43","52.58","56","193"
"274","Pseudoeurycea longicauda","2592","2714","2755","2801","2886","3089","11","12","12.5","12.42","13","14","13","14","14","14.42","15","16","72","72","72","72.33","72.25","74","179","182.2","188.5","188.1","194","198","20","21","22","21.67","22","23","1","1","1.5","1.917","2.25","4","17","19","20","19.83","21","22","13","13.75","14","13.83","14","15","10","11","12","11.67","12.25","13","13","13.75","14","14.17","15","16","9","9","10","9.833","10","11","829","857","925.5","920.7","967.2","1019","185","191.5","211","208.9","225","230","8","8","10","9.667","11","12","93","95","96.5","98.25","103","104","482","503.5","557","551.6","599.2","616","33","34.75","40.5","39.08","42.5","45","210","219.5","224.5","288.1","395","451","43","45","45.5","46.5","47","54"
"275","Pseudoeurycea melanomolga","1571","2375","2704","2661","2964","3642","8","10.25","12","12.11","14","17","9","11","11.5","12.11","13","16","64","71.25","74","72.11","74","75","113","154.8","164.5","168.6","194.8","204","14","18","20","19.94","23","25","1","2","2.5","3.222","3","9","13","15.25","16","16.83","18","21","8","11","12.5","12.94","15","19","7","8.25","9.5","10","11","15","9","12","13.5","13.89","16","19","6","8","9.5","9.722","11","14","572","932.5","1152","1136","1436","1658","106","175.5","212.5","214.5","280","319","11","17.25","25","24.56","33.75","41","60","70","76","76.94","85.75","90","252","460.2","575","574.6","754.8","911","41","55.5","79","80.67","109.2","133","188","259.8","296.5","304","373","422","41","55.5","79","83.67","115.8","142"
"276","Pseudoeurycea mixcoatl","932","1086","1385","1401","1463","2249","18","22","23","22.67","24","25","12","13","13","13","13","14","77","77","78","77.89","78","80","110","127","132","129.3","137","139","26","30","31","30.67","32","33","10","14","14","14.11","15","16","15","16","17","16.67","17","18","19","23","23","23","24","25","18","22","23","22.67","24","25","20","24","24","24.22","26","26","17","20","21","20.78","22","23","1064","1101","1134","1215","1319","1484","226","236","238","260.2","288","325","3","4","4","4.556","5","7","99","105","107","106.7","110","110","658","690","699","757.7","834","947","15","16","19","20.56","22","32","246","252","268","282.4","305","340","23","27","27","28.89","27","46"
"277","Pseudoeurycea obesa","1887","1980","2072","2072","2165","2258","14","14.75","15.5","15.5","16.25","17","10","10.5","11","11","11.5","12","62","63.25","64.5","64.5","65.75","67","178","185.2","192.5","192.5","199.8","207","21","22.25","23.5","23.5","24.75","26","6","6.5","7","7","7.5","8","15","15.75","16.5","16.5","17.25","18","14","15","16","16","17","18","14","14.75","15.5","15.5","16.25","17","16","17","18","18","19","20","11","11.75","12.5","12.5","13.25","14","1343","1439","1535","1535","1631","1727","261","280.8","300.5","300.5","320.2","340","14","15.25","16.5","16.5","17.75","19","88","88.25","88.5","88.5","88.75","89","735","786.5","838","838","889.5","941","59","63","67","67","71","75","314","334.2","354.5","354.5","374.8","395","120","122.8","125.5","125.5","128.2","131"
"278","Pseudoeurycea orchileucos","631","640","835.5","857","1052","1126","22","22","23","23","24","24","11","11","11","11.25","11.25","12","60","60","61","61","62","62","208","211.8","220.5","219.2","228","228","31","31","31.5","31.75","32.25","33","13","13","13.5","13.5","14","14","18","18","18.5","18.5","19","19","23","23","24","24","25","25","21","21.75","22","22","22.25","23","24","24.75","25.5","25.25","26","26","19","19","19.5","19.5","20","20","2663","2708","2772","2759","2822","2830","495","497.2","499","498.8","500.5","502","57","58.5","61","61","63.5","65","74","74.75","76","76","77.25","78","1369","1383","1403","1398","1418","1419","185","191.8","200.5","199.5","208.2","212","605","608","609","608.8","609.8","612","230","242.8","261","257.8","276","279"
"279","Pseudoeurycea orchimelas","23","297","524","559.8","739","1230","20","22.5","24","23.43","25","26","8","9","9","9.127","10","10","55","57","58","58.1","59.5","62","186","206.5","218","215.1","225","233","27","30","31","31.02","32.5","33","13","14.5","15","15.29","16","17","14","15","16","15.68","16","17","21","24","25","24.57","26","27","20","22","23","22.97","24","27","22","25","26","25.6","27","28","17","20","20","20.4","21","22","1634","2081","2260","2253","2393","2831","263","346","398","389.9","429.5","477","14","25","30","29.4","34","44","65","68","70","69.94","72","78","772","967","1052","1044","1120","1327","80","114.5","127","127.2","139.5","179","341","385.5","613","559","651.5","784","204","262","300","301.3","329.5","481"
"280","Pseudoeurycea papenfussi","1567","2234","2480","2424","2636","2807","11","12.25","13","14","15","20","8","9","10","10.12","11","13","63","66","67.5","67.5","68.75","71","128","145.2","151.5","156.7","164","215","18","19.25","20.5","21.54","23","30","4","5.25","6.5","6.5","7","10","12","14","14.5","14.92","15.75","20","11","12.25","13.5","14.12","15","21","10","12","13","13.31","14.75","19","13","14","15","15.88","17","23","9","10.25","12","11.96","13","18","1063","1176","1255","1320","1348","2018","207","217.2","232","245.8","254.8","378","11","16","17","17.5","18.75","32","81","83","84.5","85.15","86.75","92","574","608.5","654","696.8","723.2","1076","37","51.25","56.5","58.77","64","105","114","291","321.5","307.7","334","455","81","106.2","116.5","123","131.8","202"
"281","Pseudoeurycea rex","1293","2271","2554","2504","2778","3367","10","12","13","13.62","15","21","9","11","12","11.8","12","13","71","76","77","76.37","77","80","88","103","113","120.5","139.2","157","16","19","21","20.96","22","28","2","4","5","5.492","6.25","12","12","15","15","15.44","16","18","10","13","14","14.41","16","21","8","11","12","12.34","13","19","11","13","15","14.9","16","22","8","11","12","11.99","13","19","1184","1478","1548","1714","1788","3701","245","282","295","317.8","324.2","651","3","5","8","21","32","102","63","74","86","81.85","89","94","559","694","720","797.2","821.5","1719","19","27","37.5","75.35","105.2","325","438","507.8","540","563.7","568.2","890","19","30","61","88.93","107.2","424"
"282","Pseudoeurycea robertsi","3319","3376","3434","3434","3491","3548","10","10","10","10","10","10","15","15","15","15","15","15","74","74.5","75","75","75.5","76","152","154.8","157.5","157.5","160.2","163","19","19.25","19.5","19.5","19.75","20","-1","-0.75","-0.5","-0.5","-0.25","0","20","20","20","20","20","20","11","11","11","11","11","11","7","7.25","7.5","7.5","7.75","8","11","11.25","11.5","11.5","11.75","12","7","7.25","7.5","7.5","7.75","8","1165","1184","1204","1204","1224","1243","229","233","237","237","241","245","13","13.25","13.5","13.5","13.75","14","91","91.25","91.5","91.5","91.75","92","660","670.2","680.5","680.5","690.8","701","48","49.5","51","51","52.5","54","337","382","427","427","472","517","48","49.5","51","51","52.5","54"
"283","Pseudoeurycea ruficauda","1122","1378","1909","1766","2124","2258","14","15.25","17","17.83","21","22","10","11.5","13","13","14.5","16","62","64.75","67","66.33","67.75","70","178","192","210.5","211","230.5","244","21","23.75","27","27.5","31.75","34","6","6.25","7.5","8","9.5","11","15","17.5","19.5","19.33","21.5","23","14","15.5","18","18.5","22","23","13","14.75","17","17.5","20.75","22","16","17.5","20","20.5","24","25","11","12.5","14.5","15","18","19","1332","1352","1490","1974","2718","3097","261","263.8","291.5","368.7","489.5","558","13","14","15.5","30.67","50","65","78","81.25","88.5","86.17","90.5","92","735","743.2","816","1054","1420","1619","53","54.5","64.5","109","169.8","216","314","324.2","355","446.7","593.5","669","113","120.5","149","176.5","239.8","267"
"284","Pseudoeurycea saltator","1355","1440","1526","1526","1611","1696","19","19.25","19.5","19.5","19.75","20","10","10.25","10.5","10.5","10.75","11","65","65.5","66","66","66.5","67","175","179.8","184.5","184.5","189.2","194","26","26.75","27.5","27.5","28.25","29","11","11.25","11.5","11.5","11.75","12","15","15.5","16","16","16.5","17","19","19.5","20","20","20.5","21","19","19.25","19.5","19.5","19.75","20","21","21.5","22","22","22.5","23","16","16.5","17","17","17.5","18","2888","2889","2890","2890","2892","2893","486","491.8","497.5","497.5","503.2","509","53","55.25","57.5","57.5","59.75","62","73","73.75","74.5","74.5","75.25","76","1431","1438","1444","1444","1451","1458","182","187.8","193.5","193.5","199.2","205","587","589.2","591.5","591.5","593.8","596","283","286.8","290.5","290.5","294.2","298"
"285","Pseudoeurycea smithi","2133","2636","2662","2669","2791","2974","11","12","13","12.85","13","17","8","9","10","9.923","11","11","65","67","72","70.46","73","75","117","126","135","133.8","144","148","18","19","20","20","20","25","4","5","6","6","7","10","12","14","14","13.92","14","15","12","12","13","13.23","13","18","11","11","12","12.38","13","17","13","13","14","14.46","15","19","10","10","11","11.38","12","16","733","925","972","1071","1256","1349","163","175","186","202.5","229","248","5","10","11","13","18","20","81","83","85","84.92","85","90","404","473","496","558.5","658","709","22","36","37","44.08","58","65","261","285","317","307.5","326","343","40","59","72","85.92","115","131"
"286","Pseudoeurycea tenchalli","1604","1881","2286","2116","2352","2457","17","17","18","18.6","20","21","11","12","12","12","12","13","80","81","82","81.4","82","82","96","97","98","104","112","117","24","24","25","25.8","27","29","10","10","11","11.2","12","13","14","14","15","14.8","15","16","18","18","19","19.6","21","22","17","17","18","18.6","20","21","18","18","19","19.8","21","23","16","16","17","17.4","18","20","1284","1316","1445","1392","1448","1467","278","280","294","289.4","297","298","4","5","8","6.8","8","9","95","96","99","99.2","102","104","778","788","829","813.6","829","844","19","23","34","29.6","36","36","283","299","331","320.4","337","352","35","39","54","50.6","60","65"
