x,y,species min
785.0,785.0,1.411482E-10
786.0,786.0,1.3335228E-8
787.0,787.0,0.0016795766
788.0,788.0,2.7952292E-6
789.0,789.0,3.412477E-10
790.0,790.0,4.6246262E-7
791.0,791.0,1.938235E-6
792.0,792.0,3.117518E-5
793.0,793.0,4.213807E-5
794.0,794.0,1.6009216E-9
795.0,795.0,1.897305E-4
796.0,796.0,1.0660855E-5
797.0,797.0,7.03095E-5
798.0,798.0,1.6140078E-6
799.0,799.0,1.3708035E-11
800.0,800.0,0.0018098094
801.0,801.0,2.6029065E-6
802.0,802.0,6.799108E-6
803.0,803.0,2.2532991E-7
804.0,804.0,7.281835E-7
805.0,805.0,3.1716203E-9
806.0,806.0,4.9575137E-6
807.0,807.0,2.040963E-10
808.0,808.0,2.0120788E-7
809.0,809.0,9.20756E-5
810.0,810.0,2.9111208E-4
811.0,811.0,5.511277E-8
812.0,812.0,7.7715464E-5
813.0,813.0,1.8468054E-4
814.0,814.0,3.831562E-9
815.0,815.0,1.335665E-6
816.0,816.0,9.678317E-5
817.0,817.0,5.38565E-4
818.0,818.0,2.2695125E-5
819.0,819.0,0.3392596
820.0,820.0,0.0021977047
821.0,821.0,4.134905E-8
822.0,822.0,0.10250628
823.0,823.0,3.2755443E-7
824.0,824.0,6.575044E-8
825.0,825.0,4.463653E-4
826.0,826.0,1.16395786E-4
827.0,827.0,0.00277136
828.0,828.0,1.6210477E-4
829.0,829.0,4.7254903E-7
830.0,830.0,1.0763821E-5
831.0,831.0,0.0072899945
832.0,832.0,2.6421998E-9
833.0,833.0,1.5732683E-5
834.0,834.0,4.087053E-6
835.0,835.0,2.6319103E-7
836.0,836.0,0.6779106
837.0,837.0,0.012427104
838.0,838.0,5.601208E-5
839.0,839.0,5.2875816E-7
840.0,840.0,3.4656764E-6
841.0,841.0,2.4852423E-7
842.0,842.0,4.8766793E-7
843.0,843.0,1.2623769E-9
844.0,844.0,1.5308729E-6
845.0,845.0,4.0104715E-7
846.0,846.0,2.1854696E-8
847.0,847.0,1.9128082E-4
848.0,848.0,4.7325474E-7
849.0,849.0,1.2585073E-8
850.0,850.0,3.1836924E-9
851.0,851.0,8.384756E-4
852.0,852.0,2.485968E-6
853.0,853.0,1.6611629E-6
854.0,854.0,6.400381E-6
